taxonID,taxonomy,domain,phylum,class,order,family,genus,comparisonID,trt.code.1,trt.code.2,time,ape.obs,ape.boot.mean,ape.boot.median,ape.boot.CI.L,ape.boot.CI.U,b.obs,b.boot.mean,b.boot.median,b.boot.CI.L,b.boot.CI.U,f.gross.obs,f.gross.boot.mean,f.gross.boot.median,f.gross.boot.CI.L,f.gross.boot.CI.U,message,comparisonID.pop,group.code.0,group.code.t,r.net.obs,r.net.boot.mean,r.net.boot.median,r.net.boot.CI.L,r.net.boot.CI.U,f.net.obs,f.net.boot.mean,f.net.boot.median,f.net.boot.CI.L,f.net.boot.CI.U,N.tot.T0.obs.mean,N.tot.T0.boot.mean,N.tot.T0.boot.median,N.tot.T0.boot.CI.L,N.tot.T0.boot.CI.U,N.tot.Tt.obs.mean,N.tot.Tt.boot.mean,N.tot.Tt.boot.median,N.tot.Tt.boot.CI.L,N.tot.Tt.boot.CI.U,message.pop,d.obs,d.boot.mean,d.boot.median,d.boot.CI.L,d.boot.CI.U,f.death.obs,f.death.boot.mean,f.death.boot.median,f.death.boot.CI.L,f.death.boot.CI.U,N.light.Tt.obs,N.light.Tt.boot.mean,N.light.Tt.boot.median,N.light.Tt.boot.CI.L,N.light.Tt.boot.CI.U,sub_domain_consensus
sip5580,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_unclassified_Actinomycetales;g_unclassified_Actinomycetales,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_unclassified_Actinomycetales,g_unclassified_Actinomycetales,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.428948736,0.427176972,0.443640336,-0.119398817,0.841347857,854918.7906,869502.0547,864146.8307,-197188.2776,1977322.06,14248.64651,14491.70091,14402.44718,-3286.471294,32955.36766,Warning: no occurrences in rep rC_t3_16O (t168_16O/t24_16O/t72_16O/t48_16O/t3_16O),T0.3,t0_16O,t3_16O.t3_18O,-668277.7511,-675728.7218,-690678.1363,-1247259.09,-63633.07432,-11137.96252,-11262.14536,-11511.30227,-20787.6515,-1060.551239,139731.5562,140376.1718,139731.5562,68450.11335,209380.5399,56196.83729,55910.0816,54500.22111,21005.59053,102680.7685,Warning: no occurrences in rep rC_t3_16O (t3_16O/t3_18O),-1523196.542,-1545230.777,-1535002.181,-2754659.788,-335253.5091,-25386.60903,-25753.84628,-25583.36968,-45910.99647,-5587.558485,-50668.01154,-52777.67525,-53300.57485,-190004.5322,87796.06742,Actinobacteria
sip5584,d_Bacteria;p_Verrucomicrobia;c_Subdivision3;o_Subdivision3_genera_incertae_sedis;f_Subdivision3_genera_incertae_sedis;g_Subdivision3_genera_incertae_sedis,d_Bacteria,p_Verrucomicrobia,c_Subdivision3,o_Subdivision3_genera_incertae_sedis,f_Subdivision3_genera_incertae_sedis,g_Subdivision3_genera_incertae_sedis,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.03296892,0.034493041,0.032721646,-0.088991622,0.1763737,379460.0194,335239.7349,384267.6961,-1213049.942,1713781.43,6324.333657,5587.328915,6404.461602,-20217.49903,28563.02383,Warning: no occurrences in rep rA_t3_16O & rC_t168_16O (t168_16O/t24_16O/t48_16O/t3_16O/t72_16O),T0.3,t0_16O,t3_16O.t3_18O,-4227294.599,-4202751.497,-4186165.347,-7384194.572,-1190777.024,-70454.90999,-70045.85828,-69769.42245,-123069.9095,-19846.28374,1194590.7,1194917.057,1194590.7,842351.6124,1428370.272,666178.8755,669573.1202,676745.1104,380216.6675,934983.1348,Warning: no occurrences in rep rA_t3_16O (t3_16O/t3_18O),-4606754.619,-4537991.231,-4543139.427,-8006705.729,-1155037.408,-76779.24365,-75633.18719,-75718.99046,-133445.0955,-19250.62346,618746.373,627668.1534,634064.8089,279736.8918,947937.6812,Verrucomicrobia
sip2290,d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria,d_Bacteria,p_unclassified_Bacteria,c_unclassified_Bacteria,o_unclassified_Bacteria,f_unclassified_Bacteria,g_unclassified_Bacteria,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.145892992,0.146745922,0.142987775,-0.038320765,0.326365606,450047.6674,475458.5937,443652.674,-102465.3032,1196239.899,7500.794456,7924.309895,7394.211233,-1707.755054,19937.33165,Warning: no occurrences in rep rB_t48_16O & rC_t24_16O & rC_t48_16O (t24_16O/t72_16O/t3_16O/t48_16O/t168_16O),T0.3,t0_16O,t3_16O.t3_18O,-7162229.518,-7173541.059,-7138058.993,-15453439.67,-49871.09871,-119370.492,-119559.0177,-118967.6499,-257557.3279,-831.1849785,1052647.016,1054549.594,1052647.016,119631.517,2115034.663,157368.3263,157856.9619,154220.3842,78761.94414,265655.6039,none,-7612277.185,-7648999.653,-7574384.545,-15807744.72,-402901.0556,-126871.2864,-127483.3276,-126239.7424,-263462.412,-6715.017593,101112.3679,98424.63769,97968.83533,-24380.72549,227015.9195,unclassified
sip579,d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_Polyangiaceae;g_Minicystis,d_Bacteria,p_Proteobacteria,c_Deltaproteobacteria,o_Myxococcales,f_Polyangiaceae,g_Minicystis,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,-0.017277653,-0.018481716,-0.020324311,-0.091603621,0.059253417,-412034.965,-379561.0613,-464140.2739,-1931277.965,1664622.697,-6867.249417,-6326.017689,-7735.671231,-32187.96609,27743.71162,Warning: no occurrences in rep rC_t168_16O & rC_t48_16O (t3_16O/t48_16O/t168_16O/t24_16O/t72_16O),T0.3,t0_16O,t3_16O.t3_18O,-10518548.19,-10585300.11,-10432778.33,-17077750.56,-4518888.24,-175309.1365,-176421.6685,-173879.6388,-284629.176,-75314.804,2892064.28,2902522.352,2892064.28,2239879.411,3779648.864,1577245.756,1579359.839,1579442.39,1226472.971,1941099.563,none,-10106513.22,-10205739.05,-10193787.19,-16923789.6,-3713443.772,-168441.8871,-170095.6508,-169896.4531,-282063.1601,-61890.72954,1628750.127,1626804.971,1632013.104,1225502.545,2045598.705,Deltaproteobacteria
sip5492,d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria,d_Bacteria,p_unclassified_Bacteria,c_unclassified_Bacteria,o_unclassified_Bacteria,f_unclassified_Bacteria,g_unclassified_Bacteria,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.04948044,0.050492378,0.051226852,-0.04961686,0.144021506,1189046.908,1192800.458,1209676.486,-1171105.357,3443093.084,19817.44846,19880.00764,20161.27476,-19518.42261,57384.88474,Warning: no occurrences in rep rB_t168_16O (t24_16O/t72_16O/t48_16O/t168_16O/t3_16O),T0.3,t0_16O,t3_16O.t3_18O,-13867959.56,-13911599.86,-14139314.79,-21003789.85,-5322193.963,-231132.6593,-231859.9976,-235655.2465,-350063.1642,-88703.23272,3767985.832,3766931.113,3767985.832,3555985.693,4168705.965,2034490.887,2027981.131,2031755.608,1147192.98,3046726.153,none,-15057006.46,-15104400.31,-15313874.87,-22878646.95,-6135295.183,-250950.1077,-251740.0052,-255231.2478,-381310.7825,-102254.9197,1885860.024,1878881.073,1874683.072,908214.9959,2975165.813,unclassified
sip616,d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Acetobacteraceae;g_unclassified_Acetobacteraceae,d_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhodospirillales,f_Acetobacteraceae,g_unclassified_Acetobacteraceae,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.010500278,0.010589111,0.013270988,-0.06131805,0.065658557,785861.1211,754183.6958,964492.3953,-4752165.757,4828143.385,13097.68535,12569.72826,16074.87325,-79202.76262,80469.05642,none,T0.3,t0_16O,t3_16O.t3_18O,-14728466.43,-14897904.09,-15491487.8,-25872835.8,-252604.929,-245474.4405,-248298.4016,-258191.4634,-431213.93,-4210.08215,6104308.787,6112834.895,6104308.787,5595772.13,6836200.15,4263250.483,4250596.884,4234237.189,3155778.23,6001242.735,none,-15514327.55,-15652087.79,-16226379.33,-28017714.18,-666070.8823,-258572.1259,-260868.1298,-270439.6555,-466961.9029,-11101.18137,4165017.843,4156323.922,4090008.768,2815626.979,5918821.359,Alphaproteobacteria
sip5451,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Acidimicrobiales;f_unclassified_Acidimicrobiales;g_unclassified_Acidimicrobiales,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Acidimicrobiales,f_unclassified_Acidimicrobiales,g_unclassified_Acidimicrobiales,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.032699001,0.031567298,0.031825903,-0.026873501,0.085248724,800982.6964,762163.776,760576.7382,-643099.6807,2245870.553,13349.71161,12702.7296,12676.27897,-10718.32801,37431.17588,Warning: no occurrences in rep rC_t48_16O (t72_16O/t168_16O/t48_16O/t3_16O/t24_16O),T0.3,t0_16O,t3_16O.t3_18O,-17851860.88,-17924788.03,-18039288.79,-27935947.27,-7072460.564,-297531.0146,-298746.4672,-300654.8132,-465599.1211,-117874.3427,4088258.216,4100280.354,4088258.216,2619938.292,5423774.331,1856775.606,1859681.85,1846744.526,1559026.002,2241047.804,none,-18652843.58,-18686951.81,-18969160.78,-28993783.66,-7726524.581,-310880.7263,-311449.1968,-316152.6797,-483229.7277,-128775.4097,1756652.769,1764411.378,1753703.862,1423421.588,2187830.631,Actinobacteria
sip5357,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_unclassified_Actinomycetales;g_unclassified_Actinomycetales,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Actinomycetales,f_unclassified_Actinomycetales,g_unclassified_Actinomycetales,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.028233238,0.027790491,0.028461755,-0.043071929,0.091174672,4606934.488,4419855.344,4596786.802,-7377068.97,14676955.02,76782.24146,73664.25574,76613.11337,-122951.1495,244615.917,none,T0.3,t0_16O,t3_16O.t3_18O,-17955679.88,-17969315.53,-17664114.69,-37490610.16,-384676.8903,-299261.3314,-299488.5922,-294401.9115,-624843.5027,-6411.281506,13254409.34,13257758.33,13254409.34,11670423.72,15045283.58,11009949.35,11011593.89,11016293.97,9172294.893,12654340.67,none,-22562614.37,-22389170.88,-22445108.81,-43540799.69,-1666945.06,-376043.5728,-373152.8479,-374085.1468,-725679.9948,-27782.41767,10434082.54,10459111.97,10433889.9,8273256.159,12710806.41,Actinobacteria
sip5418,d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Gaiellales;f_Gaiellaceae;g_Gaiella,d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Gaiellales,f_Gaiellaceae,g_Gaiella,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.02104802,0.021066596,0.020495888,-0.073655399,0.126311302,568757.9503,567236.2489,544579.4708,-2033034.158,3294127.123,9479.299172,9453.937481,9076.324513,-33883.90263,54902.11872,Warning: no occurrences in rep rA_t72_16O (t3_16O/t48_16O/t24_16O/t72_16O/t168_16O),T0.3,t0_16O,t3_16O.t3_18O,-22241268.89,-22226414.56,-22456502.88,-35930575.9,-8564543.904,-370687.8148,-370440.2426,-374275.048,-598842.9317,-142742.3984,4969876.43,4968354.216,4969876.43,4022954.29,6418079.461,2189717.819,2190052.396,2158539.783,922867.1937,3446618.207,none,-22810026.84,-22793650.81,-22705714.78,-37066841.96,-8571588.322,-380167.114,-379894.1801,-378428.5797,-617780.6993,-142859.8054,2118623.075,2119147.865,2086677.391,818094.6057,3460117.465,Actinobacteria
sip93,d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Planctomycetales;f_Planctomycetaceae;g_Aquisphaera,d_Bacteria,p_Planctomycetes,c_Planctomycetia,o_Planctomycetales,f_Planctomycetaceae,g_Aquisphaera,1,t168_16O_t24_16O_t3_16O_t48_16O_t72_16O,t3_18O,3,0.113120552,0.11287576,0.112865014,0.078501195,0.148336539,4025091.061,4017935.258,4018332.018,2573920.296,5485476.659,67084.85102,66965.58763,66972.2003,42898.67161,91424.61098,none,T0.3,t0_16O,t3_16O.t3_18O,-19678997.13,-19933838.11,-19683652.07,-35084035.75,-5272575.746,-327983.2855,-332230.6351,-328060.8679,-584733.9291,-87876.26244,4638364.477,4658999.701,4638364.477,3422951.878,6415205.457,2178489.835,2167269.938,2092630.991,1209599.076,3500980.702,none,-23704088.19,-23951773.37,-23931976.96,-38997468.92,-9555018.19,-395068.1365,-399196.2228,-398866.2826,-649957.8154,-159250.3032,1675353.453,1665028.031,1606551.862,630392.396,2991132.852,Planctomycetes
