Genome,sample,read_count,num_seqs,rel_abun,MAG,taxa,prophage,time,plot
12C16O_168h_50_P09_coass_bin.26,12C16O_0h_100_P08,127087,76314836,0.0016652987369323,12C16O_168h_50_P09_coass_bin_26,Deltaproteobacteria,False,0,8
12C16O_24h_100_P16_coass_bin.6,12C16O_0h_100_P08,148967,76314836,0.0019520057672665,12C16O_24h_100_P16_coass_bin_6,Actinobacteria,False,0,8
12C18O_168h_50_P13_coass_bin.5,12C16O_0h_100_P08,64524,76314836,0.000845497460022,12C18O_168h_50_P13_coass_bin_5,Actinobacteria,False,0,8
H1-18-all-fractions_metab_conc_71.Actinobacteria_71_26,12C16O_0h_100_P08,70239,76314836,0.000920384602543,H1_18_all_fractions_metab_conc_71_Actinobacteria_71_26,Actinobacteria,False,0,8
H3-18-all-fractions_metab_conc_4.Bradyrhizobium_62_18,12C16O_0h_100_P08,57839,76314836,0.000757899813871,H3_18_all_fractions_metab_conc_4_Bradyrhizobium_62_18,Alphaproteobacteria,False,0,8
12C16O_48h_100_P14_coass_bin.1,12C16O_0h_100_P08,78136,76314836,0.0010238638264255,12C16O_48h_100_P14_coass_bin_1,Actinobacteria,False,0,8
H3-16-all-fractions_metab_conc_118.Mycobacterium_smegmatis_66_0,12C16O_0h_100_P08,130575,76314836,0.0017110041355523,H3_16_all_fractions_metab_conc_118_Mycobacterium_smegmatis_66_0,Actinobacteria,False,0,8
H2-16-all-fractions_metab_123.Actinobacteria_72_22,12C16O_0h_100_P08,44807,76314836,0.0005871335424215,H2_16_all_fractions_metab_123_Actinobacteria_72_22,Actinobacteria,False,0,8
12C16O_48h_50_P10_coass_bin.30,12C16O_0h_100_P08,37333,76314836,0.0004891971464106,12C16O_48h_50_P10_coass_bin_30,Gammaproteobacteria,False,0,8
H2-18-all-fractions_metab_36.Geodermatophilales_73_36,12C16O_0h_100_P08,428159,76314836,0.005610429405889,H2_18_all_fractions_metab_36_Geodermatophilales_73_36,Actinobacteria,True,0,8
12C16O_0h_100_P08_coass_bin.5,12C16O_0h_100_P08,98141,76314836,0.0012860015842791,12C16O_0h_100_P08_coass_bin_5,Alphaproteobacteria,False,0,8
12C16O_24h_100_unf_bin.5,12C16O_0h_100_P08,194240,76314836,0.0025452455928752,12C16O_24h_100_unf_bin_5,Alphaproteobacteria,False,0,8
12C18O_168h_50_P13_coass_bin.4,12C16O_0h_100_P08,45913,76314836,0.0006016261372821,12C18O_168h_50_P13_coass_bin_4,Chloroflexi,False,0,8
12C16O_24h_100_P08_coass_bin.7,12C16O_0h_100_P08,69851,76314836,0.000915300401091,12C16O_24h_100_P08_coass_bin_7,Actinobacteria,False,0,8
12C16O_168h_50_unf_bin.22,12C16O_0h_100_P08,77276,76314836,0.0010125947201144,12C16O_168h_50_unf_bin_22,Betaproteobacteria,False,0,8
12C16O_168h_50_P09_coass_bin.27,12C16O_0h_100_P08,97533,76314836,0.0012780345881893,12C16O_168h_50_P09_coass_bin_27,Actinobacteria,False,0,8
