votu,taxa,consensus_domain,sub_domain_consensus
12C16O_0h_100_unf_scaffold_170990,"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Sphingosinicella,unclassified Sphingosinicella",Bacteria,Alphaproteobacteria
12C16O_0h_100_unf_scaffold_381560,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,unclassified Cellulomonas",Bacteria,Actinobacteria
12C16O_0h_100_unf_scaffold_392955,"Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Anaeromyxobacteraceae,Anaeromyxobacter,unclassified Anaeromyxobacter",Bacteria,delta/epsilon subdivisions
12C16O_0h_100_unf_scaffold_416420,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Kribbellaceae,Kribbella",Bacteria,Actinobacteria
12C16O_0h_100_unf_scaffold_424934,"Bacteria,Terrabacteria group,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya",Bacteria,Actinobacteria
12C16O_0h_100_unf_scaffold_502987,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium",Bacteria,Actinobacteria
12C16O_0h_100_unf_scaffold_509576,"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus",Bacteria,Alphaproteobacteria
12C16O_0h_100_unf_scaffold_532150,"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xylella",Bacteria,Gammaproteobacteria
12C16O_0h_100_unf_scaffold_644395,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae",Archaea,Archaea
12C16O_0h_100_unf_scaffold_69039,cellular organisms,unknown,unknown
12C16O_0h_100_unf_scaffold_77188,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus",Archaea,Archaea
12C16O_0h_100_unf_scaffold_795880,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,unclassified Microbacterium",Bacteria,Actinobacteria
12C16O_0h_100_unf_scaffold_926289,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium",Bacteria,Alphaproteobacteria
12C16O_0h_100_unf_scaffold_95370,"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,unclassified Roseococcus",Bacteria,Alphaproteobacteria
12C16O_0h_50_unf_scaffold_161825,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum",Bacteria,Alphaproteobacteria
12C16O_0h_50_unf_scaffold_209062,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Desulfotomaculum,Desulfotomaculum ruminis",Bacteria,Firmicutes
12C16O_0h_50_unf_scaffold_22229,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_234768,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_266374,"Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,unclassified Methylococcus",Bacteria,Gammaproteobacteria
12C16O_0h_50_unf_scaffold_298701,"Bacteria,Terrabacteria group,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,unclassified Iamia",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_31581,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium",Bacteria,Alphaproteobacteria
12C16O_0h_50_unf_scaffold_338104,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora viridis",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_355642,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylovirgula,unclassified Methylovirgula",Bacteria,Alphaproteobacteria
12C16O_0h_50_unf_scaffold_406300,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter",Bacteria,Gammaproteobacteria
12C16O_0h_50_unf_scaffold_42633,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,Brucella",Bacteria,Alphaproteobacteria
12C16O_0h_50_unf_scaffold_469016,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,unclassified Mycobacterium",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_470830,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_498664,"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter",Bacteria,Gammaproteobacteria
12C16O_0h_50_unf_scaffold_559813,"Bacteria,Terrabacteria group,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Aquihabitans,unclassified Aquihabitans",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_589831,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_671168,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_680772,"Bacteria,Terrabacteria group,Chloroflexi,Thermomicrobia,Sphaerobacteridae,Sphaerobacterales,Sphaerobacterineae,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus",Bacteria,Terrabacteria group
12C16O_0h_50_unf_scaffold_709027,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,unclassified Micromonospora",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_722266,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Pimelobacter",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_742584,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_754869,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,unclassified Mesorhizobium",Bacteria,Alphaproteobacteria
12C16O_0h_50_unf_scaffold_850804,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Prauserella",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_86257,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unclassified Nocardioides",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_863828,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Mumia,unclassified Mumia",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_871059,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_876727,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis",Archaea,Archaea
12C16O_0h_50_unf_scaffold_880668,"Bacteria,Terrabacteria group,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus peraridilitoris",Bacteria,Terrabacteria group
12C16O_0h_50_unf_scaffold_88625,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_94214,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Phycicoccus,unclassified Phycicoccus",Bacteria,Actinobacteria
12C16O_0h_50_unf_scaffold_962549,"Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga",Bacteria,Betaproteobacteria
12C16O_168h_100_unf_scaffold_104843,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_1086193,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis",Archaea,Archaea
12C16O_168h_100_unf_scaffold_1091713,"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unclassified Sphingomonas",Bacteria,Alphaproteobacteria
12C16O_168h_100_unf_scaffold_1128641,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unclassified Nocardioides",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_1129431,"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas",Bacteria,Alphaproteobacteria
12C16O_168h_100_unf_scaffold_1165370,"Bacteria,Terrabacteria group,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_122076,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylovirgula,unclassified Methylovirgula",Bacteria,Alphaproteobacteria
12C16O_168h_100_unf_scaffold_133972,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium",Bacteria,Firmicutes
12C16O_168h_100_unf_scaffold_161383,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unclassified Nocardioides",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_195465,"Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,unclassified Methylococcus",Bacteria,Gammaproteobacteria
12C16O_168h_100_unf_scaffold_239035,"Bacteria,Terrabacteria group,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila",Bacteria,Terrabacteria group
12C16O_168h_100_unf_scaffold_252371,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Tessaracoccus",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_320957,"Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geomonas,unclassified Geomonas",Bacteria,delta/epsilon subdivisions
12C16O_168h_100_unf_scaffold_367822,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,Pseudomonas aeruginosa",Bacteria,Gammaproteobacteria
12C16O_168h_100_unf_scaffold_406787,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium",Bacteria,Firmicutes
12C16O_168h_100_unf_scaffold_522177,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis",Archaea,Archaea
12C16O_168h_100_unf_scaffold_528039,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,unclassified Streptomyces",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_598543,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium,Rhizobium leguminosarum,Rhizobium leguminosarum bv. trifolii",Bacteria,Alphaproteobacteria
12C16O_168h_100_unf_scaffold_638702,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_65626,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_705685,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila",Bacteria,Actinobacteria
12C16O_168h_100_unf_scaffold_718160,Bacteria,Bacteria,Bacteria
12C16O_168h_100_unf_scaffold_809250,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis",Archaea,Archaea
12C16O_168h_100_unf_scaffold_858124,"Bacteria,Terrabacteria group,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,unclassified Pelosinus",Bacteria,Firmicutes
12C16O_168h_100_unf_scaffold_91913,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae",Bacteria,Alphaproteobacteria
12C16O_168h_100_unf_scaffold_960589,"Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus",Bacteria,Betaproteobacteria
12C16O_168h_50_unf_scaffold_110892,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Pimelobacter",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_110911,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unclassified Nocardioides",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_1138223,"Bacteria,Terrabacteria group,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Ilumatobacter coccineus",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_1158046,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Ornithinimicrobiaceae",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_1160014,"Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula toluolica",Bacteria,delta/epsilon subdivisions
12C16O_168h_50_unf_scaffold_1340572,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unclassified Nocardioides",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_134875,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unclassified Nocardioides",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_1390478,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera viennensis",Archaea,Archaea
12C16O_168h_50_unf_scaffold_1425726,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_1440821,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_199310,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes teichomyceticus",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_217666,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_218712,"Archaea,TACK group,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis",Archaea,Archaea
12C16O_168h_50_unf_scaffold_245324,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unclassified Nocardioides",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_245717,"Bacteria,Terrabacteria group,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila",Bacteria,Terrabacteria group
12C16O_168h_50_unf_scaffold_251605,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_448052,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_461660,"Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Candidatus Nitrotoga,unclassified Candidatus Nitrotoga",Bacteria,Betaproteobacteria
12C16O_168h_50_unf_scaffold_487698,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum",Bacteria,Alphaproteobacteria
12C16O_168h_50_unf_scaffold_503661,"Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales",Archaea,Archaea
12C16O_168h_50_unf_scaffold_545697,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium cellulovorans",Bacteria,Firmicutes
12C16O_168h_50_unf_scaffold_617269,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,unclassified Microbacterium",Bacteria,Actinobacteria
12C16O_168h_50_unf_scaffold_684270,"Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus",Bacteria,Firmicutes
12C16O_168h_50_unf_scaffold_804604,"Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,unclassified Roseococcus",Bacteria,Alphaproteobacteria
12C16O_168h_50_unf_scaffold_871575,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Plantactinospora,unclassified Plantactinospora",Bacteria,Actinobacteria
